number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_n_estimators,params_subsample,params_weight_multiplier,state
0,,2026-09-07 02:42:33.657866,,,,,,,,RUNNING
1,0.9517530156983278,2026-09-07 02:45:18.141768,2026-09-07 02:45:53.170134,0 days 00:00:35.028366,0.8795975452591109,0.17854360608707254,350.0,0.9195981825434215,0.7340279606636548,COMPLETE
2,0.9499857285706709,2026-09-07 02:45:53.231104,2026-09-07 02:46:32.668595,0 days 00:00:39.437491,0.8803345035229626,0.022861967752626437,262.0,0.9598528437324806,1.5621088666940683,COMPLETE
3,0.951772030639092,2026-09-07 02:46:32.721638,2026-09-07 02:46:58.746169,0 days 00:00:26.024531,0.7637017332034828,0.18661212048851333,208.0,0.9497327922401265,0.7727374508106509,COMPLETE
4,0.9466826226952776,2026-09-07 02:46:58.803226,2026-09-07 02:47:38.886079,0 days 00:00:40.082853,0.8295835055926347,0.04029695576831731,273.0,0.8574269294896714,0.9368437102970628,COMPLETE
5,0.9452761880531086,2026-09-07 02:47:38.952106,2026-09-07 02:48:40.592171,0 days 00:01:01.640065,0.8099085529881075,0.027575529238707534,445.0,0.7876433945605654,1.1841049763255538,COMPLETE
6,0.9466762395137327,2026-09-07 02:48:40.666244,2026-09-07 02:49:46.691607,0 days 00:01:06.025363,0.8777243706586128,0.031674063118237505,514.0,0.8542703315240835,0.5696756190799965,COMPLETE
7,0.9438712846992582,2026-09-07 02:49:46.750901,2026-09-07 02:50:43.626123,0 days 00:00:56.875222,0.984665661176,0.029617890239950373,443.0,0.7195154778955838,1.948448049611839,COMPLETE
8,0.9293791024350506,2026-09-07 02:50:43.688701,2026-09-07 02:51:10.167224,0 days 00:00:26.478523,0.905269907953647,0.040331443383617174,524.0,0.7293016342019151,1.1602287406094018,PRUNED
9,0.947914108820137,2026-09-07 02:51:10.218487,2026-09-07 02:51:46.521343,0 days 00:00:36.302856,0.9727961206236346,0.06254706073560741,248.0,0.7103165563345655,0.8881699724000254,COMPLETE
10,0.9508030262777153,2026-09-07 02:51:46.609868,2026-09-07 02:52:23.314547,0 days 00:00:36.704679,0.8640130838029839,0.04099596104190036,465.0,0.8560204063533432,0.7772816832882905,PRUNED
11,0.9287027596191417,2026-09-07 02:52:23.409940,2026-09-07 02:52:37.573566,0 days 00:00:14.163626,0.7088816251071088,0.17129523376975667,354.0,0.9908611332363597,1.4777998261672676,PRUNED
12,0.9507257612407095,2026-09-07 02:52:37.630837,2026-09-07 02:52:59.301300,0 days 00:00:21.670463,0.7539498451855433,0.19415464287316064,350.0,0.9194730661047195,0.5112959574298593,PRUNED
13,0.94913664191882,2026-09-07 02:52:59.360124,2026-09-07 02:53:25.643450,0 days 00:00:26.283326,0.785056912410558,0.11932965003706497,204.0,0.926249087654198,0.7365520265414608,COMPLETE
14,0.9545813845098632,2026-09-07 02:53:25.703760,2026-09-07 02:54:04.815343,0 days 00:00:39.111583,0.9361665076233798,0.09793105181553138,335.0,0.916784347634772,1.014543094392028,COMPLETE
15,0.9517723358701007,2026-09-07 02:54:04.888184,2026-09-07 02:54:40.123696,0 days 00:00:35.235512,0.9368431198958395,0.0978512993124032,297.0,0.9973941456729212,1.0214501457448741,COMPLETE
16,0.9501084159718346,2026-09-07 02:54:40.186209,2026-09-07 02:55:21.736217,0 days 00:00:41.550008,0.9540988370165996,0.09061219003380819,587.0,0.9988049595242305,1.0483929966177015,PRUNED
17,0.9521440561304277,2026-09-07 02:55:21.823536,2026-09-07 02:56:03.583262,0 days 00:00:41.759726,0.9385529941067923,0.07425409682950346,298.0,0.8910087783720669,1.3362022537965814,COMPLETE
18,0.9508365923394066,2026-09-07 02:56:03.680417,2026-09-07 02:56:33.982934,0 days 00:00:30.302517,0.9190764574430643,0.06270813703740385,393.0,0.8077267087533189,1.4285946994870145,PRUNED
19,0.9544043251845803,2026-09-07 02:56:34.058805,2026-09-07 02:57:15.366550,0 days 00:00:41.307745,0.9966256060278467,0.080734593131626,319.0,0.8921926040844177,1.7307083797800378,COMPLETE
20,0.9309072691794622,2026-09-07 02:57:15.437547,2026-09-07 02:57:34.371721,0 days 00:00:18.934174,0.9823571203351342,0.12236518395759242,406.0,0.8877903381658584,1.7218851930202144,PRUNED
21,0.9309233614102057,2026-09-07 02:57:34.444865,2026-09-07 02:57:48.365099,0 days 00:00:13.920234,0.9931799396785234,0.13455614559957038,320.0,0.8099951934254396,1.8977271555352886,PRUNED
22,0.951942111859229,2026-09-07 02:57:48.415563,2026-09-07 02:58:27.978755,0 days 00:00:39.563192,0.9479544536167038,0.07151857466777121,312.0,0.8896093031639486,1.3059618639549901,COMPLETE
23,0.9317269381758204,2026-09-07 02:58:28.058842,2026-09-07 02:58:48.735317,0 days 00:00:20.676475,0.9281311277246063,0.08543287519330842,377.0,0.8860446723353672,1.6929706402858913,PRUNED
24,0.9316263901417812,2026-09-07 02:58:48.829966,2026-09-07 02:59:04.692147,0 days 00:00:15.862181,0.9621936846046155,0.05265261232890433,289.0,0.8986863193026111,1.326759851111131,PRUNED
25,0.9531795717852336,2026-09-07 02:59:04.752626,2026-09-07 02:59:38.887298,0 days 00:00:34.134672,0.9087021172292907,0.07569297036880791,247.0,0.955445568998892,1.7164046597033742,COMPLETE
26,0.951593227645865,2026-09-07 02:59:38.965844,2026-09-07 03:00:08.884307,0 days 00:00:29.918463,0.903625893974964,0.10474811314196114,237.0,0.9602607168211342,1.7159163667320958,COMPLETE
27,0.9316515257548255,2026-09-07 03:00:08.937356,2026-09-07 03:00:25.489435,0 days 00:00:16.552079,0.9020040113963304,0.05275591472962215,326.0,0.9400315301605298,1.8798713873030006,PRUNED
28,0.9345358647865344,2026-09-07 03:00:25.540560,2026-09-07 03:00:36.096958,0 days 00:00:10.556398,0.9998216080805417,0.14948608334354122,229.0,0.9744941793793026,1.5991963573513246,PRUNED
29,0.9543694848412146,2026-09-07 03:00:36.152150,2026-09-07 03:01:09.183111,0 days 00:00:33.030961,0.963959689356287,0.0798226723448724,271.0,0.9181273033640719,1.8252186438102849,COMPLETE
30,0.9544938945614809,2026-09-07 03:01:09.230791,2026-09-07 03:01:48.409156,0 days 00:00:39.178365,0.9672354479131172,0.10849783250955979,340.0,0.9144764775384064,1.8035290862957023,COMPLETE
31,0.9316926636411444,2026-09-07 03:03:01.402068,2026-09-07 03:03:17.663479,0 days 00:00:16.261411,0.8418684547031535,0.10819705087335292,372.0,0.872663718168194,1.5603778138632447,PRUNED
32,0.9544234099886258,2026-09-07 03:03:17.719363,2026-09-07 03:03:56.958203,0 days 00:00:39.238840,0.9643511199307203,0.0837498719814942,333.0,0.9192188536404172,1.9957594732961126,COMPLETE
33,0.9544234101711417,2026-09-07 03:03:57.018760,2026-09-07 03:04:36.979706,0 days 00:00:39.960946,0.973126623614608,0.1481899486792789,336.0,0.9119210430300323,1.9900498318304325,COMPLETE
34,0.935927328180939,2026-09-07 03:04:37.050403,2026-09-07 03:04:51.545253,0 days 00:00:14.494850,0.9716693083857132,0.1547978179041499,345.0,0.9316818355277693,1.972751328028766,PRUNED
35,0.953037269798817,2026-09-07 03:04:51.594655,2026-09-07 03:05:39.132302,0 days 00:00:47.537647,0.9487269303921827,0.12355655587403722,410.0,0.9132662921201643,1.9914269985922688,COMPLETE
36,0.9288969246827697,2026-09-07 03:05:39.203846,2026-09-07 03:05:53.555038,0 days 00:00:14.351192,0.9246829367198921,0.14042071388039254,333.0,0.9418960850615498,1.8253477349272094,PRUNED
37,0.9356019500850228,2026-09-07 03:05:53.604967,2026-09-07 03:06:11.197033,0 days 00:00:17.592066,0.9714950525602754,0.1092342505699764,371.0,0.828356252516897,1.8067197363379417,PRUNED
38,0.9288237254334815,2026-09-07 03:06:11.246913,2026-09-07 03:06:24.070408,0 days 00:00:12.823495,0.8723629404550813,0.16786379053611605,289.0,0.8459311263472099,1.9988141475893852,PRUNED
39,0.9319720943204304,2026-09-07 03:06:24.131352,2026-09-07 03:06:43.135151,0 days 00:00:19.003799,0.8888621136655357,0.09535142621931113,434.0,0.9068299728786601,1.157254201803556,PRUNED
40,0.9492644164518854,2026-09-07 03:06:43.190814,2026-09-07 03:07:39.126378,0 days 00:00:55.935564,0.9812683478098068,0.05421108413108525,388.0,0.8712406867332381,1.9045172630544216,COMPLETE
41,0.9333309106226434,2026-09-07 03:07:39.331836,2026-09-07 03:07:59.420428,0 days 00:00:20.088592,0.9420016753271407,0.13157806193670224,421.0,0.7424752724957053,1.0169306141540218,PRUNED
42,0.938117798333546,2026-09-07 03:07:59.556551,2026-09-07 03:08:18.248543,0 days 00:00:18.691992,0.9848469771177235,0.0703862724540121,356.0,0.8721970787248362,1.6264958540187888,PRUNED
43,0.9544932227334499,2026-09-07 03:08:18.329978,2026-09-07 03:08:57.729592,0 days 00:00:39.399614,0.9972235611230323,0.09935934772256576,308.0,0.9050149179546868,1.8059420017279093,COMPLETE
44,0.9545055353366596,2026-09-07 03:08:57.795162,2026-09-07 03:09:33.142055,0 days 00:00:35.346893,0.9585002560745852,0.11285139752675583,267.0,0.9637942154088162,1.815040520516906,COMPLETE
45,0.934241875489525,2026-09-07 03:09:33.210312,2026-09-07 03:09:46.096593,0 days 00:00:12.886281,0.9824924539144406,0.11415654151916192,264.0,0.9726547964413415,0.8565454814916463,PRUNED
46,0.9329372965710803,2026-09-07 03:09:46.157294,2026-09-07 03:10:01.295501,0 days 00:00:15.138207,0.9555220515427201,0.09810364584883695,280.0,0.9792934471581098,0.6352610794211417,PRUNED
47,0.9294134274864161,2026-09-07 03:10:01.360252,2026-09-07 03:10:13.091874,0 days 00:00:11.731622,0.9314822944378901,0.1587438548935486,258.0,0.9464212385760558,1.5141649631705971,PRUNED
48,0.9291842259310652,2026-09-07 03:10:13.144384,2026-09-07 03:10:26.903698,0 days 00:00:13.759314,0.8213994031687789,0.1974698593493984,305.0,0.9622858831598765,1.7989176668682907,PRUNED
49,0.9538208652070281,2026-09-07 03:10:26.978095,2026-09-07 03:10:49.162498,0 days 00:00:22.184403,0.917673013393783,0.02414966721970454,217.0,0.9317566753853939,1.896985106053088,PRUNED
50,0.954471673871286,2026-09-07 03:10:49.243304,2026-09-07 03:11:44.477449,0 days 00:00:55.234145,0.8899539645838417,0.17700897518226502,489.0,0.9045674323719335,1.4114251020087687,COMPLETE
51,0.9361711236351861,2026-09-07 03:11:44.541781,2026-09-07 03:12:05.736885,0 days 00:00:21.195104,0.8561059425607578,0.18442462803423892,474.0,0.8383944257529231,1.4146446624833182,PRUNED
52,0.9317529154684392,2026-09-07 03:12:05.788278,2026-09-07 03:12:29.094824,0 days 00:00:23.306546,0.8830651168529604,0.1433917650636827,526.0,0.9064143284054623,1.2059463836273514,PRUNED
53,0.9544517445333156,2026-09-07 03:12:29.166254,2026-09-07 03:13:35.046384,0 days 00:01:05.880130,0.9553039651116837,0.13214833331436807,586.0,0.931493021193711,1.6474599389473379,COMPLETE
54,0.9544572955656319,2026-09-07 03:13:35.115168,2026-09-07 03:14:41.457793,0 days 00:01:06.342625,0.9510501049309142,0.12658675525104715,599.0,0.9308247275431588,1.6508349825782422,COMPLETE
55,0.9544618501159533,2026-09-07 03:14:41.517986,2026-09-07 03:15:47.259390,0 days 00:01:05.741404,0.9424046829340403,0.09131425980434478,562.0,0.9499857846977835,1.7644013311674578,COMPLETE
56,0.9312040359560675,2026-09-07 03:15:47.324435,2026-09-07 03:16:13.620972,0 days 00:00:26.296537,0.891251517657503,0.09146163429781352,552.0,0.9455315402177422,1.09167464635845,PRUNED
57,0.928611247756532,2026-09-07 03:16:13.673549,2026-09-07 03:16:37.034490,0 days 00:00:23.360941,0.9166299622650572,0.1040550254710474,490.0,0.9823115724881001,1.7835822870275622,PRUNED
58,0.9316767182141036,2026-09-07 03:16:37.102181,2026-09-07 03:17:03.800069,0 days 00:00:26.697888,0.9374672258320156,0.06595809209059914,533.0,0.8810593190494139,0.9524766135310788,PRUNED
59,0.9356253547854032,2026-09-07 03:17:03.851503,2026-09-07 03:17:31.625264,0 days 00:00:27.773761,0.9900566098060435,0.08876970017469481,558.0,0.9659569321236593,1.7638509692982243,PRUNED
60,0.9287076250309398,2026-09-07 03:17:31.696974,2026-09-07 03:17:54.856104,0 days 00:00:23.159130,0.7399684644687026,0.11472834279798244,493.0,0.8977362636327769,1.394105724493898,PRUNED
